doctor,doctor_id
Matthew Smith,1
Samantha Davies,2
Tiffany Mitchell,3
Kevin Wells,4
Kathleen Hanna,5
Taylor Newton,6
Kelly Olson,7
Suzanne Thomas,8
Daniel Ferguson,9
Heather Day,10
John Duncan,11
Douglas Mayo,12
Kenneth Fletcher,13
Theresa Freeman,14
Roberta Stewart,15
Maria Dougherty,16
Erica Spencer,17
Justin Kim,18
Justin Moore Jr.,19
Denise Galloway,20
Krista Smith,21
Gregory Smith,22
Vanessa Newton,23
Donna Martinez MD,24
Stephanie Kramer,25
Angela Contreras,26
Wendy Glenn,27
James Ellis,28
Jared Bruce Jr.,29
Brandy Mitchell,30
Jacob Huynh,31
Kristina Frazier,32
John Hartman,33
Heather Garcia,34
Lynn Young,35
Emma Allison,36
Laura Myers,37
Travis Parsons,38
Christine Johnson,39
Emily Taylor,40
William Reynolds,41
Jennifer Carter,42
Matthew Thomas,43
Mary Logan,44
Kristin Martinez,45
Daniel Murphy,46
Emily Patterson,47
Heather Smith,48
John Smith,49
Cameron Young,50
Vicki Nguyen,51
Mary Moss,52
Alexander Garcia,53
Patrick Burns,54
Kayla Powers,55
Julia Cox,56
Penny Pruitt,57
Mrs. Lori Hurst PhD,58
Stephen Carr,59
Jacob Daniel,60
Tyler Braun,61
Cindy Ellis,62
Megan Hahn,63
Eric Kelly,64
Jennifer Larson,65
William Hess,66
Patricia Dunn,67
Jack Jackson,68
Jonathan Drake,69
Ian Benitez,70
Jamie Baker,71
Erika Jackson,72
Amanda Garcia,73
Raven Wong,74
Cynthia Scott,75
Mark Padilla,76
Julie Ramirez,77
Jacob Rich,78
Mark Hartman Jr.,79
Timothy Baker,80
Lori Sanchez,81
Connie Boyd,82
James Tucker,83
Juan Acevedo,84
Julie Finley,85
Miguel Parker,86
Jermaine Peters,87
Lisa Edwards,88
Matthew Walker,89
Gregory Hansen,90
Jessica Cruz,91
Robert Salazar,92
Kyle Patterson,93
John Summers,94
Scott Grant,95
David Ruiz,96
Kyle Smith,97
Jason Price,98
Stephanie Clements,99
Steven James,100
Jeremiah Wolf,101
Roberto Petersen,102
Christina Hammond,103
Patricia Colon,104
Dominic Mitchell,105
Wendy Davis,106
Daniel Carson,107
Erin Henderson MD,108
Christopher Butler,109
Samuel Robles,110
Benjamin Webb,111
Krystal Fox,112
Bruce Garrett,113
Jonathan Watson,114
Christopher Guerra,115
Steven Adams,116
Victoria Patel,117
Louis Bell,118
Michael Baker,119
Douglas Fleming,120
Patrick Carter,121
Sarah Shaffer,122
Matthew Carter,123
Brian Wagner,124
Lucas Cole,125
Julia Yoder,126
Crystal Chavez,127
Brenda Lopez,128
Michael Cole,129
Michael Larson,130
Tracey Spence,131
Susan Gibson,132
Gerald Hooper,133
Todd Sanchez,134
Elizabeth Morales,135
Kimberly Petersen,136
Misty Garcia,137
Melissa Fernandez,138
Kari Moore,139
David Hubbard,140
Lonnie Morgan,141
Victoria Gonzales,142
Cindy White,143
Douglas Li,144
Lori Mendoza,145
Ryan Ross,146
Brian Walton,147
Michael Berg,148
Scott Davis,149
Daniel Shelton,150
Tara Moreno,151
Kristie Morgan,152
Joseph Jones,153
Maria Tran,154
Kelly Murphy,155
Katherine Brown,156
Elizabeth Frank,157
Alyssa Edwards,158
Jesse Thomas,159
Erica Mccormick,160
Amber Holmes,161
Austin Jackson,162
Shane Morris,163
Brent Smith,164
Kayla Davis,165
Rose Zuniga,166
Ethan Wagner,167
Phillip Williams,168
Maureen Hill,169
Heidi Compton MD,170
Kimberly Gonzalez,171
Rebecca Morgan,172
Sabrina Rogers,173
Kevin Brown,174
Sarah Cole,175
Jennifer Hall,176
Emily Cruz,177
Michael Anderson,178
Natalie Sellers,179
Patrick Ochoa,180
Daniel Rodgers,181
Taylor Baldwin,182
Adam Ross,183
Amy Williams,184
Martha Graham,185
Emily Thomas,186
Terrance Rosales,187
Daniel Smith,188
Marissa Stevenson,189
Katie Fitzpatrick,190
Dennis Small,191
Chris Holt,192
Jenny Griffith,193
Gregory Lambert,194
